Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,previsão
2020-09-25,27.846203055962924,28.268711021650333,27.41386910571128,27.9051570892334,930500,0.0,0.0,27.245287
2020-09-28,28.150800999550423,28.258884955329364,26.804672978098704,27.01101303100586,1306600,0.0,0.0,27.107994
2020-09-29,26.971710205078125,27.21735418918953,26.49024634699869,26.971710205078125,863100,0.0,0.0,26.28096
2020-09-30,27.237886020450137,28.16622639306255,26.981110943613125,28.02796173095703,1176300,0.13952,0.0,26.345177
2020-10-01,28.1168464765422,29.45997711551351,27.820568545564008,29.31183815002441,1325200,0.0,0.0,27.306337
2020-10-02,29.18344871293625,29.51923136172207,28.660024259708827,28.887170791625977,970700,0.0,0.0,28.422173
2020-10-05,29.045186041548504,29.33158966573799,28.304489351844907,28.620519638061523,1484000,0.0,0.0,27.976503
2020-10-06,28.472379380480028,29.292083604415744,28.32424042602205,28.709402084350582,883500,0.0,0.0,27.882635
2020-10-07,28.80816378674025,28.84766663130335,28.284737439533043,28.403249740600582,1043700,0.0,0.0,27.957876
2020-10-08,28.541511605119485,28.650147720633697,27.94895388619778,28.551387786865234,1044700,0.0,0.0,27.625956
2020-10-09,28.51188420773969,30.45744675290453,28.462503300285352,30.131540298461918,1705400,0.0,0.0,27.811749
2020-10-13,30.17104393601609,30.17104393601609,29.400720596313477,29.40072059631348,1067400,0.0,0.0,29.273981
2020-10-14,29.67724569969224,29.805634176818057,29.094564171048063,29.61799049377441,504900,0.0,0.0,28.434778
2020-10-15,29.51923136729585,30.08216054810511,29.19332490031738,29.73650360107422,717500,0.0,0.0,28.866468
2020-10-16,30.12166595458984,31.050006350787204,29.776007116078038,30.121665954589844,2207600,0.0,0.0,28.88803
2020-10-19,30.18092102484348,30.77347876190087,29.756254615224204,30.10191345214844,1070200,0.0,0.0,29.26218
2020-10-20,30.101913375327747,31.15864036381059,30.0624105309256,30.941370010375977,1171800,0.0,0.0,29.216532
2020-10-21,30.990749612668605,31.25740088117219,30.378441385389056,30.457448959350582,955000,0.0,0.0,30.043652
2020-10-22,30.487077810384505,30.6352167775804,29.87476769330186,29.934022903442383,651900,0.0,0.0,29.507269
2020-10-23,30.03278124190408,30.082160267107508,29.44022352101765,29.696998596191406,536700,0.0,0.0,29.13815
2020-10-26,29.68712222446669,29.68712222446669,28.91679888756323,29.104440689086918,492800,0.0,0.0,28.918528
2020-10-27,29.104440991045813,29.242705652805565,28.581016540527344,28.581016540527344,652300,0.0,0.0,28.323668
2020-10-28,28.21560587717307,28.34399435952281,27.35639876349329,27.810691833496094,1602700,0.0,0.0,27.856886
2020-10-29,27.7909397911191,28.27486141273137,27.13912684089121,27.860071182250977,642300,0.0,0.0,27.104101
2020-10-30,27.78106225030495,27.90945072786141,26.41818120748942,26.526817321777344,1524200,0.0,0.0,27.19155
2020-11-03,27.25763907228357,27.63292457332656,26.753965087736223,27.563793182373047,1348200,0.0,0.0,25.78756
2020-11-04,27.75143765300812,29.667373707699607,27.70205674116424,29.390846252441406,1030000,0.0,0.0,26.982338
2020-11-05,29.84513776464789,30.763601955905177,29.637743596913197,29.72662734985352,941400,0.0,0.0,28.504755
2020-11-06,29.72662811507463,30.891991231456167,28.857542926994885,30.408069610595703,1327800,0.0,0.0,28.731531
